DispImage,as.WRB.0224,jp.WRB.0219,jp.WRB.0225,rc.WRB.0225,rc.WRB.0218,sw.WRB.0217,sw.WRB.0316,direction
Images/Fractal_Curves_D3.png,0.426255,1.37842,1.428769,0.497127,1.113875,0.609388,0.546767,2
Images/Fractal_Curves_D0.png,0.426262,0.810923,1.47709,0.662703,0.628774,0.661228,0.610932,2
Images/Fractal_Curves_D4.png,0.415156,1.009785,1.897746,0.83072,1.449457,0.682211,0.812697,2
Images/Fractal_Curves_C3.png,0.410097,2.479938,1.946856,0.863146,1.777729,0.645458,1.14272,2
Images/Fractal_Curves_C1.png,0.378617,1.002908,1.344836,0.413549,0.598203,0.708723,1.016625,2
Images/Fractal_Curves_C2.png,0.430633,1.876743,1.128579,1.314507,0.877261,0.76588,0.509032,2
Images/Fractal_Curves_C5.png,0.374163,1.210345,1.727215,1.162944,0.862252,0.629833,0.699041,2
Images/Fractal_Curves_C1.png,0.445115,1.479238,1.128683,1.196153,0.777786,0.72692,0.625764,2
Images/Fractal_Curves_C0.png,0.327348,2.04397,1.293403,0.810413,0.961521,0.683462,0.526807,2
Images/Fractal_Curves_C4.png,0.394462,1.594378,1.578911,1.111852,0.460982,0.62702,0.813944,2
Images/Fractal_Curves_C3.png,0.410968,1.113557,0.811217,0.660813,0.910022,0.743967,0.626747,2
Images/Fractal_Curves_C4.png,0.410366,1.282396,1.559959,1.243539,0.432717,0.709832,0.677625,2
Images/Fractal_Curves_C5.png,0.393047,1.211414,1.199432,0.644048,0.528322,0.715884,1.08307,2
Images/Fractal_Curves_C0.png,0.431627,0.843517,1.727981,0.328463,1.010445,0.578753,0.577566,2
Images/Fractal_Curves_C2.png,0.410857,0.898487,1.527347,0.830336,1.078791,0.69514,0.478175,2
Images/Fractal_Curves_B4.png,0.377057,1.343872,1.698928,0.861206,1.112664,0.678332,0.528084,2
Images/Fractal_Curves_B2.png,0.396458,0.980567,1.609732,1.627038,0.510776,0.644006,0.494327,2
Images/Fractal_Curves_B4.png,0.396769,1.180375,0.948687,0.76499,0.761299,0.795944,0.610951,2
Images/Fractal_Curves_B5.png,0.379575,0.7813,1.709748,0.676387,0.745359,0.647768,0.710524,2
Images/Fractal_Curves_B2.png,0.396566,0.877734,1.213807,0.829445,0.895588,0.675663,0.513431,2
Images/Fractal_Curves_B0.png,0.413362,0.928423,1.296962,0.946888,1.126285,0.678226,0.494968,2
Images/Fractal_Curves_B3.png,0.379566,0.810938,1.798917,0.980601,0.980214,0.592321,0.531808,2
Images/Fractal_Curves_B1.png,0.397842,0.960113,1.960677,1.248746,0.612849,0.614977,0.526051,2
Images/Fractal_Curves_B5.png,0.395678,1.333224,1.964432,0.777355,0.741732,0.696503,0.664997,2
Images/Fractal_Curves_B1.png,0.414096,1.012074,1.49542,0.745388,0.645801,0.728811,0.604959,2
Images/Fractal_Curves_B3.png,0.379708,0.811716,1.295948,0.961871,1.061232,0.695595,0.530957,2
Images/Fractal_Curves_B0.png,0.396049,0.84476,1.360579,0.52691,0.827972,0.76234,0.691166,2
Images/Fractal_Curves_A0.png,0.414163,0.86192,1.662236,0.795599,0.660453,0.709135,0.595687,2
Images/Fractal_Curves_A1.png,0.377827,1.011829,1.060483,0.710912,0.610894,0.750197,0.567056,2
Images/Fractal_Curves_A1.png,0.394088,0.860095,1.0968,1.079362,0.645352,0.727556,0.659837,2
Images/Fractal_Curves_A4.png,0.380046,2.060967,0.799517,0.576156,0.828596,0.826787,0.532448,2
Images/Fractal_Curves_A2.png,0.420031,0.764828,1.458688,0.962134,0.528628,0.749289,0.527183,2
Images/Fractal_Curves_A5.png,0.41255,0.693579,1.615345,0.627757,0.942082,0.761357,0.495659,2
Images/Fractal_Curves_A4.png,0.39014,0.611051,1.761492,0.56005,0.499752,0.678271,0.492509,2
Images/Fractal_Curves_A5.png,0.395348,0.545886,0.960741,0.828179,0.528554,0.74276,0.498815,2
Images/Fractal_Curves_A3.png,0.378426,0.694659,0.981372,0.545865,0.827009,0.733903,0.51017,2
Images/Fractal_Curves_A2.png,0.361046,0.795562,1.444887,0.877353,0.462265,0.628243,0.517138,2
Images/Fractal_Curves_A0.png,0.36221,0.810866,1.995119,0.62719,0.661499,0.658861,0.559508,2
Images/Fractal_Curves_A3.png,0.39482,2.161314,1.495295,0.845711,0.866756,0.701298,0.533237,2
