DispImage,a,b,c,d,e,f,direction,number
Images/Sierpinski_A3.png,1.011681,0.778893,0.538528,0.378865,0.826152,0.560125,0,143
Images/Sierpinski_A2.png,0.726899,0.795723,0.57482,0.360709,0.782511,0.544438,0,144
Images/Sierpinski_A1.png,0.880313,1.010739,0.724428,0.36064,0.744165,0.611335,0,145
Images/Sierpinski_A0.png,0.462021,0.84512,0.492742,0.397409,0.630648,0.832229,0,146
Images/Sierpinski_B0.png,1.211885,0.910989,0.51202,0.545438,0.682559,0.660092,1,147
Images/Sierpinski_B1.png,0.94255,0.79572,0.448343,0.3085,0.715663,0.630243,1,148
Images/Sierpinski_B2.png,1.454638,0.810372,0.545278,0.332744,0.724851,0.728464,1,149
Images/Sierpinski_B3.png,2.206267,0.843648,0.529866,0.39388,0.698422,0.645489,1,150
Images/Sierpinski_B4.png,3.211189,0.861853,0.945207,0.344815,0.564341,0.731789,1,151
Images/Sierpinski_B5.png,1.947716,0.728613,0.528037,0.528289,0.532676,0.953354,1,152
Images/Sierpinski_B5.png,3.8652,2.163295,0.527688,0.428397,0.74805,0.807934,0,153
Images/Sierpinski_B4.png,0.728874,0.711711,0.461208,0.359963,0.580036,0.548683,0,154
Images/Sierpinski_B3.png,0.561679,0.794481,0.611376,0.361982,0.578695,0.696335,0,155
Images/Sierpinski_B2.png,0.694978,0.944259,0.761054,0.359994,0.642156,0.562071,0,156
Images/Sierpinski_B1.png,0.677005,0.814755,0.778503,0.382549,0.71666,0.6831,0,157
Images/Sierpinski_B0.png,0.578509,0.893381,1.059675,0.444328,0.51273,0.658418,0,158
Images/Tree_A0.png,0.862899,0.998784,0.744565,0.661022,0.726323,0.715423,1,159
Images/Tree_A1.png,2.845725,0.761312,0.66062,0.395917,0.745463,0.678575,1,160
Images/Tree_A2.png,3.228413,0.710138,0.598456,0.395247,0.659062,0.646596,1,161
Images/Tree_A3.png,4.529733,0.730283,0.576082,0.394676,0.700535,0.647859,1,162
Images/Tree_A4.png,4.029198,0.720918,0.581559,0.361801,0.812352,0.6599,1,163
Images/Tree_A5.png,2.977761,0.657394,0.711582,0.443072,0.677427,0.550424,1,164
Images/Tree_A6.png,5.797981,0.678522,0.610776,0.612532,0.81017,0.676902,1,165
Images/Tree_A7.png,4.029023,0.759224,0.593748,0.360996,0.78274,0.727919,1,166
Images/Tree_A7.png,0.927731,0.799146,0.578885,0.459182,0.729634,0.7819,0,167
Images/Tree_A6.png,0.74407,1.51185,0.560767,0.36571,0.627064,0.542702,0,168
Images/Tree_A5.png,0.37691,1.210916,0.447517,0.377413,0.579323,0.565753,0,169
Images/Tree_A4.png,0.66202,0.943488,0.438303,0.393884,0.560094,0.626762,0,170
Images/Tree_A3.png,0.308868,1.264893,0.578786,0.393967,0.648294,0.614936,0,171
Images/Tree_A2.png,0.483098,0.762045,0.593721,0.410339,0.728626,0.676206,0,172
Images/Tree_A1.png,0.530129,0.779058,0.613083,0.498273,0.830461,0.561743,0,173
Images/Tree_A0.png,0.559154,2.543571,0.545454,0.395317,0.694505,0.56371,0,174
