DispImage,direction,bc.WRA.0225,cc.WRA.0225,es.WRA.0224,sw.WRA.0221,sw.WRA.0308,as.WRB.0224,jp.WRB.0219,jp.WRB.0225,rc.WRB.0225,rc.WRB.0218,sw.WRB.0217,sw.WRB.0316
Images/Moore_0.png,2,0.77827,0.611273,0.827825,0.798675,0.911939,0.447161,0.911177,1.082059,0.631086,0.927042,0.659643,0.629788
Images/Moore_1.png,2,1.14502,0.545311,0.527694,0.877901,1.014211,0.42519,1.196622,1.078908,0.426844,0.895928,0.644243,0.479558
Images/Moore_1.png,2,0.745014,0.828271,0.344878,0.812446,0.828787,0.460787,0.724958,1.777412,1.06019,0.4723,0.666763,0.693421
Images/Moore_2.png,2,1.028332,0.594816,0.495875,0.778583,0.896897,0.445341,1.193911,1.311031,0.561088,0.62663,0.678111,0.594413
Images/Moore_2.png,2,0.477127,0.644247,0.343683,0.825647,0.743388,0.394507,1.111312,1.645042,0.427006,0.561569,0.732085,0.542888
Images/Moore_3.png,2,1.279095,0.645299,0.776813,0.795495,1.013929,0.415367,1.161496,1.408441,0.760359,1.012726,0.643397,0.565988
Images/Moore_3.png,2,1.028782,0.562146,0.560927,0.793517,0.745026,0.394832,1.293819,1.210827,0.814659,0.99485,0.629692,0.596906
Images/Moore_4.png,2,2.22966,0.662702,0.448806,0.8324,0.91068,0.414265,1.459365,1.510867,1.179917,0.828928,0.644128,0.493787
Images/Moore_4.png,2,1.095238,0.745671,0.343231,0.793577,0.711355,0.445046,0.89627,0.361098,0.477865,1.026985,0.659546,0.679113
Images/Moore_5.png,2,1.712074,1.344438,0.442982,0.8639,0.812256,0.411507,1.062658,1.010231,0.816066,0.577278,0.726454,0.678332
Images/Moore_5.png,2,0.89553,0.594148,0.478099,0.915335,0.949178,0.427347,0.763886,1.446169,0.679915,0.55485,0.629392,0.609926
Images/Pythagoras_A0.png,2,0.813833,0.693369,0.399427,0.916541,0.726283,0.428829,1.044603,0.827047,0.677803,0.775568,0.861227,0.550075
Images/Pythagoras_A0.png,2,0.838851,0.626746,0.92908,0.830898,0.797277,0.443826,1.194562,1.027537,0.746969,0.62901,0.793115,0.394923
Images/Pythagoras_A1.png,2,0.909482,0.745091,0.343066,1.031785,0.816839,0.477562,1.528986,1.311396,0.494482,0.846345,0.743984,0.694657
Images/Pythagoras_A1.png,2,0.844048,0.728923,0.594156,0.828924,0.642075,0.43176,1.128686,1.013433,0.748275,0.560478,0.762291,0.39316
Images/Pythagoras_A2.png,2,1.395409,1.044319,1.112476,0.942137,0.878966,0.527617,1.427705,1.413948,0.699301,0.461701,0.695326,1.112863
Images/Pythagoras_A2.png,2,0.759519,0.559757,0.475985,0.832891,0.562217,0.444876,1.011862,1.073446,0.528608,0.528646,0.827398,0.533132
Images/Pythagoras_A3.png,2,1.622559,0.731029,0.379092,0.892839,0.682145,0.395261,1.428402,0.947918,0.87876,0.860516,0.745637,0.826849
Images/Pythagoras_A3.png,2,0.545075,0.878456,0.495246,0.844028,0.71594,0.377028,1.345118,1.696573,0.479105,1.112066,0.779527,0.844723
Images/Pythagoras_B0.png,2,1.677035,0.77671,0.427827,0.795628,0.71536,0.528478,1.061304,1.628162,0.644025,0.511967,0.744384,0.643637
Images/Pythagoras_B0.png,2,1.911197,0.577887,0.39399,0.711465,0.657945,0.381722,1.094234,1.278729,0.594459,0.562926,0.759812,0.594279
Images/Pythagoras_B1.png,2,1.929426,0.893938,0.5479,1.126665,0.762505,0.428033,1.128478,2.012271,0.744041,0.5111,0.778409,0.694895
Images/Pythagoras_B1.png,2,1.679278,0.794448,0.412191,0.760383,0.593929,0.411112,1.328633,1.060558,0.509377,0.444984,0.65941,0.777225
Images/Pythagoras_B2.png,2,1.795494,4.263395,0.475746,0.777466,0.999448,0.412764,1.126901,1.515333,0.9778,1.211319,0.793029,0.777716
Images/Pythagoras_B2.png,2,2.347778,0.977258,0.415656,0.700287,0.88374,0.411909,0.878062,1.493578,0.579724,0.648299,0.694457,0.779392
Images/Pythagoras_B3.png,2,3.896536,0.99812,0.494679,0.599722,0.829439,0.411235,1.544295,1.696515,0.477931,1.010306,0.618644,0.679931
Images/Pythagoras_B3.png,2,1.811176,0.7119,0.576724,0.731797,0.746107,0.44028,1.411478,1.728513,0.728086,0.878183,0.850293,0.763896
Images/Sierpinski_A0.png,2,1.111926,1.010522,0.562291,0.778348,0.615045,0.413808,1.045333,1.064161,0.778538,1.060983,0.874635,0.463908
Images/Sierpinski_A0.png,2,0.960621,0.895891,0.510521,0.75944,0.547042,0.365108,0.430398,1.36072,0.459831,1.195234,0.812764,0.52694
Images/Sierpinski_A1.png,2,1.129188,0.806929,0.577666,0.89387,0.59326,0.447844,1.020691,1.256306,0.77994,0.827301,0.829051,0.511678
Images/Sierpinski_A1.png,2,1.094751,0.692805,0.376399,0.847445,0.697425,0.412035,1.056746,1.347542,0.513218,0.445397,0.761225,0.578219
Images/Sierpinski_A2.png,2,0.827831,0.748692,0.430817,0.803135,0.594142,0.394332,0.978435,1.296235,0.862815,0.75998,0.878305,0.596561
Images/Sierpinski_A2.png,2,1.294253,0.72802,0.395299,0.758321,0.730767,0.36065,1.22768,1.433854,0.509978,0.915543,0.796138,0.581012
Images/Sierpinski_A3.png,2,1.861579,0.861499,0.46106,0.811013,0.827595,0.444985,1.075903,1.39329,0.426877,0.661148,1.09527,0.528421
Images/Sierpinski_A3.png,2,0.812711,0.695504,0.377977,0.733553,0.514762,0.444358,0.946463,1.226664,0.528533,0.846167,0.815588,0.679808
Images/Sierpinski_A4.png,2,2.01182,0.72008,0.362334,0.728816,0.694863,0.375828,1.096568,1.328391,0.962088,0.844595,0.831891,0.544132
Images/Sierpinski_A4.png,2,1.127398,0.778282,0.411761,0.74458,0.592005,0.443089,1.244519,1.311725,0.761355,0.727938,0.626733,0.644126
Images/Sierpinski_B0.png,2,0.827226,0.881914,0.409786,0.713516,0.64325,0.427549,0.947841,1.478071,0.99359,0.823352,0.749072,0.478685
Images/Sierpinski_B0.png,2,0.627967,0.843792,0.629731,0.749755,0.562879,0.41099,1.094472,1.394908,0.609616,0.795224,0.847749,0.542478
Images/Sierpinski_B1.png,2,0.843132,0.726876,0.413612,0.798324,0.646565,0.408029,0.661685,1.494221,0.394112,0.961166,0.727622,0.562915
Images/Sierpinski_B1.png,2,0.627705,0.807803,0.539601,0.645298,0.632193,0.438254,0.893497,1.295792,0.495007,0.494878,0.711709,0.562269
Images/Sierpinski_B2.png,2,0.728784,1.144177,0.394259,0.883098,0.581901,0.374104,2.165363,1.261831,0.596948,0.644019,0.709389,0.661743
Images/Sierpinski_B2.png,2,0.878094,0.757764,0.411284,0.876797,0.704502,0.393833,1.011935,1.260654,0.828918,1.14473,0.816647,0.781731
Images/Sierpinski_B3.png,2,0.715353,0.618715,0.380895,0.761989,0.713158,0.478145,1.610753,1.311531,1.071777,0.786707,0.682927,0.565654
Images/Sierpinski_B3.png,2,0.67761,1.015049,0.444238,0.662469,0.646073,0.396268,0.911879,1.394677,1.078731,0.977756,0.812157,0.694285
Images/Sierpinski_B4.png,2,0.895675,0.61156,0.527175,0.77945,0.611479,0.361248,1.39391,1.460983,0.576663,0.560213,0.743376,0.69441
Images/Sierpinski_B4.png,2,1.029277,0.492888,0.394429,0.96073,0.74419,0.395268,0.380477,1.361451,0.593355,0.97745,0.64489,0.61271
Images/Sierpinski_B5.png,2,1.228066,0.511018,0.39372,0.843132,0.74512,0.511365,1.462373,1.599534,1.136109,1.242958,0.764625,0.559282
Images/Sierpinski_B5.png,2,0.862625,0.845377,0.393875,0.762253,0.676171,0.412634,0.909338,1.463629,0.596121,1.011188,0.712182,0.678031
Images/Tree_A0.png,2,0.531592,0.677381,0.443107,0.659907,0.660612,0.443303,1.144517,1.255391,0.810437,0.761182,0.859889,0.460563
Images/Tree_A0.png,2,0.528406,0.597267,0.477274,0.677138,0.748019,0.443168,1.47884,1.14488,0.593005,1.162305,0.746813,0.693193
Images/Tree_A1.png,2,0.495513,1.26517,0.460343,0.882804,0.576043,0.489289,1.128169,1.265223,1.112031,1.223499,1.007733,0.541183
Images/Tree_A1.png,2,0.945034,0.531374,0.366105,0.744173,0.578403,0.494765,0.993949,1.462475,0.545218,1.227255,0.760856,0.461002
Images/Tree_A2.png,2,0.843847,1.228198,0.461441,0.844334,0.713483,0.427103,1.131219,1.310133,0.681962,1.382295,1.111467,0.87892
Images/Tree_A2.png,2,1.01191,0.626297,0.326082,0.827264,0.78155,0.399411,1.059772,1.143015,0.514036,0.679055,0.928519,0.532271
Images/Tree_A3.png,2,0.577655,0.494019,0.443649,0.64673,0.631209,0.41139,1.028745,1.628442,0.611039,0.644353,0.861147,0.108297
Images/Tree_A3.png,2,2.262,0.710419,0.427242,0.694615,0.698316,0.41387,1.177432,1.306176,0.795842,0.961953,0.781006,0.4941
Images/Tree_A4.png,2,0.678611,1.210679,0.398285,0.76156,0.764715,0.464822,1.046141,1.128785,0.512584,0.926608,0.809425,0.442393
Images/Tree_A4.png,2,0.780918,0.510169,0.396376,0.878178,0.666527,0.378885,0.979788,1.39619,0.695952,0.661932,0.67669,0.48179
Images/Tree_A5.png,2,0.676462,0.528288,0.597891,1.027527,0.608856,0.426604,1.264255,1.59756,0.911749,1.109565,1.178683,0.396741
Images/Tree_A5.png,2,3.261938,0.578326,0.553843,0.933083,0.62769,0.412469,1.29422,1.262541,0.492248,1.54887,0.765827,0.447896
Images/Tree_A6.png,2,0.777692,0.860249,0.582124,0.827705,0.982583,0.44442,1.111485,1.427355,0.612133,0.911273,0.87876,0.433966
Images/Tree_A6.png,2,1.645159,0.96626,0.465453,0.830583,0.724231,0.376678,1.262285,1.545,0.945044,0.629927,0.849028,0.666635
Images/Tree_A7.png,2,0.728026,1.161076,0.412829,0.995058,0.797847,0.468818,1.793965,1.809608,0.59298,0.756575,2.62913,0.611059
Images/Tree_A7.png,2,1.10098,0.558885,0.353821,0.895083,0.727662,0.394253,1.077318,1.27781,0.847367,0.877943,0.778733,0.51111
