DispImage,g,h,i,j,k,l,m,n,o,p,direction,number
Images/Hilbert_1.png,0.528443,0.459761,1.127866,0.648643,0.75835,0.877664,0.679218,0.445401,0.379886,0.531207,0,113
Images/Hilbert_0.png,0.543859,0.449557,0.878425,0.77913,0.846659,0.678693,0.610082,0.44682,0.447253,0.412369,0,114
Images/Fractal_Curves_E0.png,0.647317,0.594603,0.996144,0.9786,0.963457,1.061436,1.611464,0.89258,0.396928,0.90826,1,115
Images/Fractal_Curves_E1.png,0.662645,0.528393,0.909782,0.778017,1.048517,0.727648,1.027521,0.665509,0.413282,0.776999,1,116
Images/Fractal_Curves_E2.png,0.59417,0.510928,0.928794,0.776834,0.827857,0.762259,0.948868,0.710733,0.380074,0.479389,1,117
Images/Fractal_Curves_E3.png,0.760259,0.428308,0.811035,0.577259,0.861913,0.744521,0.510619,0.612584,0.380225,0.560802,1,118
Images/Fractal_Curves_E4.png,0.51565,0.594173,1.012749,0.676849,0.761914,0.860518,0.760202,0.495448,0.414209,1.092507,1,119
Images/Fractal_Curves_E5.png,0.645935,0.480179,0.895178,0.648275,0.928018,0.827461,0.864662,0.695024,0.412209,0.995666,1,120
Images/Fractal_Curves_E5.png,0.542441,0.543855,0.995164,0.710308,0.843666,0.427442,0.986252,0.408365,0.381053,0.861062,0,121
Images/Fractal_Curves_E4.png,0.533546,0.426233,0.995393,0.980549,0.83111,0.495096,0.761294,0.414233,0.445761,0.576265,0,122
Images/Fractal_Curves_E3.png,0.541749,0.349446,0.97619,1.043092,0.678522,0.511137,1.026461,0.513538,0.330978,1.249218,0,123
Images/Fractal_Curves_E2.png,0.516298,0.21111,0.795612,1.164523,0.610967,0.460739,0.845048,0.463745,0.428007,1.245493,0,124
Images/Fractal_Curves_E1.png,0.528268,0.560531,0.977964,0.845261,0.761436,0.528057,0.491425,0.43076,0.363218,0.614328,0,125
Images/Fractal_Curves_E0.png,0.544339,0.663392,0.878195,1.010918,0.678509,0.611182,0.761948,0.460094,0.430632,0.426731,0,126
Images/Fractal_Curves_D0.png,0.527519,0.394211,0.911452,0.911494,0.843643,0.727271,0.894112,0.730738,0.413116,0.944162,1,127
Images/Fractal_Curves_D1.png,0.594758,0.378075,1.227976,1.045151,0.844787,0.728371,0.978251,0.478484,0.413906,1.229129,1,128
Images/Fractal_Curves_D2.png,0.595383,0.360882,0.960674,0.827291,0.777972,0.825978,0.861181,0.510428,0.430024,0.595251,1,129
Images/Fractal_Curves_D3.png,0.561626,0.37637,0.878119,0.776673,0.77699,0.577947,0.81113,0.411315,0.381475,0.545843,1,130
Images/Fractal_Curves_D4.png,0.577834,0.562047,0.946118,0.799005,0.782006,0.577583,0.594801,0.481664,0.412593,0.892061,1,131
Images/Fractal_Curves_D5.png,0.661316,0.495093,0.966397,0.711525,0.828674,0.69514,1.12762,0.443079,0.412963,0.845626,1,132
Images/Fractal_Curves_D5.png,0.592052,0.43022,1.078297,0.894814,0.743884,0.961213,0.761293,0.677248,0.397476,0.378246,0,133
Images/Fractal_Curves_D4.png,0.531551,0.45985,0.911105,0.760957,0.830356,0.3759,0.760823,0.477991,0.363376,0.627829,0,134
Images/Fractal_Curves_D3.png,0.516314,0.396546,0.844686,0.745376,0.779832,0.515795,1.112423,0.411867,0.397816,0.992967,0,135
Images/Fractal_Curves_D2.png,0.575538,0.497183,0.712391,0.728312,0.759436,0.511702,0.612549,0.478278,0.393283,0.898099,0,136
Images/Fractal_Curves_D1.png,0.516177,0.521388,0.876527,0.894047,0.598512,0.575633,0.694082,0.461299,0.413141,0.576381,0,137
Images/Fractal_Curves_D0.png,0.542261,0.545318,0.897142,0.865011,0.811309,0.762211,1.427925,0.460606,0.448828,0.376251,0,138
Images/Fractal_Curves_C0.png,0.516411,0.526008,0.810249,0.978346,0.744707,0.544415,1.4766,0.861062,0.409566,1.01177,1,139
Images/Fractal_Curves_C1.png,0.544528,0.442352,1.116881,1.076202,0.860737,0.847256,1.030177,0.614328,0.38106,0.961993,1,140
Images/Fractal_Curves_C2.png,0.612083,0.54961,1.227919,1.431601,0.862224,0.860767,1.480536,0.595251,0.378671,0.598445,1,141
Images/Fractal_Curves_C3.png,0.543876,0.640961,0.877822,1.061626,1.894508,0.527801,1.831668,0.378246,0.413476,0.396415,1,142
Images/Fractal_Curves_C4.png,0.494389,0.449475,1.327502,1.444595,0.830465,0.511542,0.863987,0.576381,0.39599,1.144538,1,143
Images/Fractal_Curves_C5.png,0.661735,0.828217,1.295567,1.027204,0.82741,0.709849,1.244039,0.598445,0.414193,1.095232,1,144
Images/Fractal_Curves_C5.png,0.544377,0.377809,1.77718,0.97831,0.894013,0.412155,0.565477,0.396415,0.363348,0.730738,0,145
Images/Fractal_Curves_C4.png,0.526059,0.378479,1.04417,1.013581,0.694754,0.444739,1.327386,0.376251,0.397201,0.460606,0,146
Images/Fractal_Curves_C3.png,0.499111,0.345783,0.897672,0.977895,0.777957,0.427523,1.56175,0.627829,0.429887,1.09485,0,147
Images/Fractal_Curves_C2.png,0.52812,0.359634,0.860057,0.894388,0.642738,0.61125,0.478164,0.545843,0.364071,1.399619,0,148
Images/Fractal_Curves_C1.png,0.576599,0.347343,0.863354,0.794922,0.78072,0.577848,0.676839,0.426731,0.380829,0.478484,0,149
Images/Fractal_Curves_C0.png,0.578225,0.343447,0.786796,0.745363,0.728237,0.762151,0.713916,0.576265,0.410012,0.461299,0,150
Images/Fractal_Curves_B0.png,0.511837,0.397092,0.839776,0.827982,0.760394,0.927438,0.981175,0.748773,0.412793,1.012651,1,151
Images/Fractal_Curves_B1.png,0.611223,0.392605,0.759245,0.827709,0.748341,0.495062,1.095941,0.5115,0.395501,0.844568,1,152
Images/Fractal_Curves_B2.png,0.561269,0.381902,1.032019,0.878071,0.744394,0.461415,0.980389,0.494987,0.396852,0.510428,1,153
Images/Fractal_Curves_B3.png,0.51182,0.563307,1.143144,0.827996,0.894702,0.710119,1.601692,0.509181,0.413673,0.478278,1,154
Images/Fractal_Curves_B4.png,0.575903,0.411228,0.946609,0.831057,0.781932,0.830368,1.575835,0.531207,0.380201,1.262425,1,155
Images/Fractal_Curves_B5.png,0.58199,0.377449,0.916159,0.878222,0.744565,0.827465,0.827641,0.479389,0.413838,1.180099,1,156
Images/Fractal_Curves_B5.png,0.560481,0.544214,1.66049,0.928488,0.810022,0.430165,0.577525,0.560802,0.412854,0.411315,0,157
Images/Fractal_Curves_B4.png,0.547258,0.444129,1.127571,0.725072,0.730238,0.412723,0.54467,0.412369,0.380648,0.411867,0,158
Images/Fractal_Curves_B3.png,0.560883,0.376511,0.961563,0.664648,0.713434,0.538113,0.695246,0.360651,0.363662,1.048086,0,159
Images/Fractal_Curves_B2.png,0.527802,0.362456,0.976312,0.913076,0.797933,0.487188,0.344853,0.562346,0.396686,0.96164,0,160
Images/Fractal_Curves_B1.png,0.495594,0.358962,0.831785,0.808252,0.635584,0.480263,0.493713,0.51001,0.431571,0.481664,0,161
Images/Fractal_Curves_B0.png,0.594387,0.366332,0.628389,0.879968,0.639829,0.728733,0.679839,0.565628,0.395575,0.477991,0,162
Images/Fractal_Curves_A0.png,0.581332,0.41299,0.827612,0.832037,0.621334,0.530561,1.245311,0.693479,0.462665,0.695167,1,163
Images/Fractal_Curves_A1.png,0.511175,0.411892,0.82914,0.944575,0.86332,0.49707,0.74393,0.477987,0.347932,0.898582,1,164
Images/Fractal_Curves_A2.png,0.543694,0.46151,0.861532,1.109914,0.540032,0.516573,1.011422,0.476787,0.445937,0.443079,1,165
Images/Fractal_Curves_A3.png,0.545718,0.545161,0.844789,1.013186,0.778799,0.518757,0.826577,0.482866,0.328701,0.677248,1,166
Images/Fractal_Curves_A4.png,0.493553,0.527466,1.044183,0.913653,0.692464,0.816362,1.148665,0.44415,0.378181,0.94413,1,167
Images/Fractal_Curves_A5.png,0.57887,0.478171,1.177764,0.829523,0.848021,0.478026,0.54427,0.860907,0.394671,0.968539,1,168
Images/Fractal_Curves_A5.png,0.528241,0.711335,1.029604,0.698348,0.81019,0.795514,0.945505,0.428787,0.345149,0.89258,0,169
Images/Fractal_Curves_A4.png,0.560273,0.44442,0.843994,0.695988,0.745638,0.427956,0.428434,0.494944,0.37665,0.460094,0,170
Images/Fractal_Curves_A3.png,0.529538,0.444973,0.727705,0.694165,0.582576,0.578287,0.443597,0.411181,0.344306,0.978504,0,171
Images/Fractal_Curves_A2.png,0.594905,0.494377,0.877699,0.712145,0.795187,0.494192,0.610159,0.461614,0.379506,1.199203,0,172
Images/Fractal_Curves_A1.png,0.544843,0.461871,0.861157,0.68064,0.593574,0.544606,0.562034,0.42818,0.394893,0.665509,0,173
Images/Fractal_Curves_A0.png,0.588709,0.530312,0.828593,0.69462,0.712473,0.694831,0.795945,0.411151,0.39463,0.43076,0,174
